page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,240000,1900,Michigan,Plain and simple: housing is too expensive. This is Kamala Harris’s plan to fix it.,kamalaharris.com,,Plain and simple: housing is too expensive. This is Kamala Harris’s plan to fix it.,HARRIS FOR PRESIDENT,126.3157895
Kamala Harris,225000,1800,Michigan,"It’s true: Trump’s Project 2025 agenda would set us back. It would gut the Department of Education, ban abortion nationwide, and weaken gun laws.",kamalaharris.com,,We can’t afford this,HARRIS FOR PRESIDENT,125
Kamala Harris,25000,200,Michigan,The American people are ready to turn the page on Trump’s chaos.,www.kamalaharris.com,,We are not going back,HARRIS FOR PRESIDENT,125
Kamala Harris,31000,248.5,Michigan,"Vice President Harris is not just advocating for change, she’s fighting to protect the rights we all deserve. That's the kind of leadership we need.",kamalaharris.com,,Kamala Harris is fighting to protect our rights,HARRIS FOR PRESIDENT,124.7484909
Kamala Harris,37000,299,Michigan,"Unlike Trump, who is running to have unchecked power, Kamala Harris fights for the people. The choice could not be more clear this November.",kamalaharris.com,,Kamala Harris puts families first,HARRIS FOR PRESIDENT,123.7458194
Kamala Harris,250499.5,2049.5,Michigan,"After a violation of their bodies, survivors of rape and incest are being told they cannot make decisions about what happens to them next—all because of Trump Abortion Bans.
This is immoral. Women and girls deserve better.",kamalaharris.com,,Trump took away reproductive freedom,HARRIS FOR PRESIDENT,122.2246889
Kamala Harris,60000,500,Michigan,Trump gave tax breaks to big corporations that shipped jobs overseas. Kamala Harris will invest in American autoworkers and boost our local economies.,kamalaharris.com,,,HARRIS FOR PRESIDENT,120
Kamala Harris,180000,1500,Michigan,"Trump’s Project 2025 agenda would give him total control over our lives. It will force states to monitor women’s pregnancies and will ban abortion nationwide. As president, Kamala Harris will fight to restore our reproductive freedom.",kamalaharris.com,,,HARRIS FOR PRESIDENT,120
Kamala Harris,918000,7699,Michigan,"Senator Sanders knows: Kamala Harris will fight for working families. She’ll bring down the cost of housing, expand the child tax credit, and have Medicare cover the cost of at-home care.",kamalaharris.com,,,HARRIS FOR PRESIDENT,119.2362644
Kamala Harris,155000,1300,Michigan,"Weaponizing the Department of Justice, banning abortion nationwide, ending the Affordable Care Act, and gutting the Department of Education – it’s all a part of Trump’s Project 2025 agenda.",kamalaharris.com,,Defeat Project 2025,HARRIS FOR PRESIDENT,119.2307692
Kamala Harris,604000,5100,Michigan,Trump doesn’t know what regular working people are dealing with every day. He doesn’t get it. Kamala Harris gets it.,kamalaharris.com,,A Truck Driver from Detroit,HARRIS FOR PRESIDENT,118.4313725
Kamala Harris,1059000,9049.5,Michigan,"Kamala Harris has a plan to allow Medicare to cover the cost of long-term at home care. For those who are taking care of aging parents, this will be a game-changer.",kamalaharris.com,,,HARRIS FOR PRESIDENT,117.0230399
Kamala Harris,175000,1500,Michigan,"Donald Trump loves Jill Stein, and it’s no wonder why. She helped him win in 2016 and she’s trying to do it again.",kamalaharris.com,"BUILD AN OPPORTUNITY ECONOMY AND LOWER COSTS FOR FAMILIES Vice President Harris grew up in a middle class home as the daughter of a working mom. She believes that when the middle class is strong, America is strong. That’s why as President, Kamala Harris will create an Opportunity Economy where eve...",Trump 🤝 Jill Stein,HARRIS FOR PRESIDENT,116.6666667
Kamala Harris,35000,300,Michigan,Donald Trump’s former Chairman of the Joint Chiefs of Staff is sending a clear warning: Trump is “dangerous to this country.”,kamalaharris.com,,,HARRIS FOR PRESIDENT,116.6666667
Kamala Harris,35000,300,Michigan,"Trump’s economic plan includes a 20% tax on everyday basic necessities that will cost the average family nearly $4,000 more a year. Vice President Harris’ plan will cut taxes for the middle class.",kamalaharris.com,,,HARRIS FOR PRESIDENT,116.6666667
