page_name,Sum of impressions,Sum of spend,delivery_by_region,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,byline,performance
Kamala Harris,265000,2300,Nevada,"Kamala Harris has a plan to lower costs. A Harris presidency will make it easier to buy a house, afford groceries, and pay the bills. Her plan will give $25k to first-time homebuyers, including Latinos, so they can get their foot in the door and be able to realize the American Dream.",kamalaharris.com,,,HARRIS FOR PRESIDENT,115.2173913
Kamala Harris,80000,700,Nevada,"Vice President Harris is not just advocating for change, she’s fighting to protect the rights we all deserve. That's the kind of leadership we need.",kamalaharris.com,,,HARRIS FOR PRESIDENT,114.2857143
Kamala Harris,17000,149.5,Nevada,"“If Medicare started covering in-home health care like Kamala Harris wants to do, that would absolutely change my life. And my mom’s.” Watch this:",kamalaharris.com,,,HARRIS FOR PRESIDENT,113.7123746
Kamala Harris,17000,149.5,Nevada,The American people are ready to turn the page on Trump’s chaos.,www.kamalaharris.com,,We are not going back,HARRIS FOR PRESIDENT,113.7123746
Kamala Harris,130499.5,1149.5,Nevada,Our fight is a fight for the future. Donald Trump’s fight is a fight for himself.,kamalaharris.com,,We are not going back,HARRIS FOR PRESIDENT,113.5271857
Kamala Harris,295000,2600,Nevada,"Trump’s Project 2025 agenda would be a disaster for Asian American communities – it would ban abortion nationwide, increase health care costs, and make it harder to get visas.",kamalaharris.com,,,HARRIS FOR PRESIDENT,113.4615385
Kamala Harris,267497.5,2396,Nevada,Former Trump staffers know exactly what will happen if Trump is reelected: he’ll place America’s national security at risk. We can’t let that happen.,kamalaharris.com,,Trump is unfit to serve,HARRIS FOR PRESIDENT,111.6433639
Kamala Harris,71999,648.5,Nevada,"Senator Sanders knows: Kamala Harris will fight for working families. She’ll bring down the cost of housing, expand the child tax credit, and have Medicare cover the cost of at-home care.",kamalaharris.com,,,HARRIS FOR PRESIDENT,111.0239013
Kamala Harris,60499.5,549.5,Nevada,"Hadley was only 12 years old when her stepfather at the time impregnated her after years of sexual abuse. She didn’t know what to do, but she had options. Now, because of Donald Trump, girls like Hadley have lost the right to choose.",kamalaharris.com,,Trump took away our freedom,HARRIS FOR PRESIDENT,110.0991811
Kamala Harris,22000,200,Nevada,"Kamala Harris has a record of making our communities safer. Now, she’s dedicated to securing our border.",kamalaharris.com,,,HARRIS FOR PRESIDENT,110
Kamala Harris,317000,2899,Nevada,"Como presidenta, Kamala Harris hará lo que siempre ha hecho – luchar por la gente.",kamalaharris.com,,,HARRIS FOR PRESIDENT,109.3480511
